Index;ID;Spoj;Linka;ZastavkaStart;ZastavkaFinish;CasStart;CasFinish;Trvanie;Vzdialenost;Spotreba
0;"0";"1000";"0";0;0;240;240;0;0.0;0.0
1;"2";"18";"20";92;160;297;321;24;10.486;15.0
2;"467";"99";"29";159;14;297;325;28;13.017;19.0
3;"16";"61";"31";42;66;306;320;14;6.49;9.0
4;"508";"4";"30";99;99;315;361;46;17.525;26.0
5;"3";"21";"20";160;160;323;372;49;19.565;29.0
6;"33";"98";"20";92;160;326;350;24;10.486;15.0
7;"468";"101";"29";14;159;326;358;32;14.293;21.0
8;"17";"63";"31";66;25;331;350;19;7.496;11.0
9;"528";"42";"31";42;66;336;350;14;6.49;9.0
10;"469";"103";"29";159;42;359;382;23;11.042;16.0
11;"34";"101";"20";160;160;363;412;49;19.565;29.0
12;"529";"44";"31";66;112;366;392;26;10.178;15.0
13;"509";"7";"30";99;99;375;421;46;17.525;26.0
14;"470";"108";"29";42;159;389;415;26;11.192;16.0
15;"4";"24";"20";160;160;393;442;49;19.565;29.0
16;"19";"68";"31";42;66;396;410;14;6.49;9.0
17;"530";"46";"31";112;66;415;440;25;11.451;17.0
18;"471";"110";"29";159;14;419;447;28;13.017;19.0
19;"35";"104";"20";160;160;423;472;49;19.565;29.0
20;"20";"70";"31";66;42;426;442;16;6.709;10.0
21;"510";"10";"30";99;42;435;470;35;12.893;19.0
22;"5";"27";"20";160;75;445;473;28;10.787;16.0
23;"531";"48";"31";66;112;451;477;26;10.178;15.0
24;"472";"112";"29";14;159;453;485;32;14.293;21.0
25;"36";"107";"20";160;160;483;532;49;19.565;29.0
26;"473";"114";"29";159;42;489;512;23;11.042;16.0
27;"255";"124";"30";42;501;518;529;11;3.245;4.0
28;"37";"110";"20";160;37;533;545;12;4.921;7.0
29;"256";"126";"30";501;99;540;564;24;9.565;14.0
30;"474";"119";"29";42;159;554;580;26;11.192;16.0
31;"23";"50";"20";230;160;557;566;9;4.919;7.0
32;"257";"129";"30";99;501;567;589;22;7.959;11.0
33;"24";"53";"20";160;160;568;617;49;19.565;29.0
34;"475";"121";"29";159;14;584;612;28;13.017;19.0
35;"258";"131";"30";501;42;600;613;13;4.934;7.0
36;"476";"123";"29";14;42;618;627;9;3.786;5.0
37;"513";"14";"30";42;501;638;649;11;3.245;4.0
38;"25";"56";"20";160;160;643;692;49;19.565;29.0
39;"514";"16";"30";501;99;660;684;24;9.565;14.0
40;"477";"128";"29";42;159;674;700;26;11.192;16.0
41;"515";"19";"30";99;501;687;709;22;7.959;11.0
42;"26";"59";"20";160;160;703;752;49;19.565;29.0
43;"478";"130";"29";159;14;704;732;28;13.017;19.0
44;"516";"21";"30";501;42;720;733;13;4.934;7.0
45;"479";"132";"29";14;42;738;747;9;3.786;5.0
46;"517";"25";"30";42;501;758;769;11;3.245;4.0
47;"8";"32";"20";160;160;763;812;49;19.565;29.0
48;"301";"257";"30";42;99;773;784;11;4.631;6.0
49;"152";"108";"31";25;66;779;795;16;7.232;10.0
50;"480";"137";"29";42;159;779;805;26;11.192;16.0
51;"518";"27";"30";501;42;780;793;13;4.934;7.0
52;"302";"260";"30";99;42;787;798;11;4.714;7.0
53;"153";"110";"31";66;114;801;829;28;10.845;16.0
54;"481";"139";"29";159;42;807;830;23;11.042;16.0
55;"538";"51";"31";42;66;816;830;14;6.49;9.0
56;"519";"30";"30";42;501;818;829;11;3.245;4.0
57;"9";"35";"20";160;160;823;872;49;19.565;29.0
58;"40";"132";"20";230;160;837;846;9;4.919;7.0
59;"520";"32";"30";501;42;840;853;13;4.934;7.0
60;"154";"112";"31";114;42;843;856;13;5.659;8.0
61;"482";"146";"29";42;159;844;870;26;11.192;16.0
